id,name,category,subcategory,unit,unit_price_eur_2025,supplier,vat_rate,sku,stock_qty,lead_time_days,notes
1,Cemento Portland 32.5 R,Muratura,Leganti,kg,0.14,Italcementi,22,CEM325R,15000,2,Per calcestruzzi e malte generiche
2,Cemento Portland 42.5 R,Muratura,Leganti,kg,0.18,Buzzi Unicem,22,CEM425R,12000,3,Per calcestruzzi strutturali
3,Calce idrata,Muratura,Leganti,kg,0.12,Fassa Bortolo,22,CALCID,9000,3,Intonaci e malte
4,Premiscelato malta M5,Muratura,Premiscelati,kg,0.22,Fassa Bortolo,22,MALM5,8000,3,Malta muratura classe M5
5,Premiscelato intonaco civile,Muratura,Premiscelati,kg,0.24,Kerakoll,22,INTCIV,7000,4,Finitura civile
6,Additivo antigelo,Muratura,Additivi,L,4.5,Mapei,22,ADGEL,600,3,Per basse temperature
7,Additivo fluidificante,Muratura,Additivi,L,6.2,Mapei,22,ADFLU,500,4,Aumenta lavorabilità
8,Calcestruzzo C20/25,Calcestruzzi,Preconfezionati,m3,95.0,Calcestruzzi SpA,22,CLS2025,120,2,Consegna in 48h
9,Calcestruzzo C25/30,Calcestruzzi,Preconfezionati,m3,105.0,Calcestruzzi SpA,22,CLS2530,100,2,Consegna in 48h
10,Calcestruzzo C28/35,Calcestruzzi,Preconfezionati,m3,112.0,Calcestruzzi SpA,22,CLS2835,90,3,Consegna in 72h
11,Calcestruzzo alleggerito,Calcestruzzi,Speciali,m3,135.0,Unical,22,CLSLIGHT,60,5,"Isolante, bassa densità"
12,Sabbia 0-3,Aggregati,Inerti,m3,22.0,Cava Roma,22,SAB003,400,2,Sfusa
13,Ghiaia 4-8,Aggregati,Inerti,m3,24.0,Cava Roma,22,GHI408,380,2,Sfusa
14,Pietrisco 20-30,Aggregati,Inerti,m3,26.5,Cava Roma,22,PIE2030,350,2,Sfusa
15,Stabilizzato,Aggregati,Inerti,m3,21.0,Cava Roma,22,STAB,300,2,Massicciate
16,Barra acciaio B450 Ø10,Acciaio,Armature,kg,1.35,Ferriere Nord,22,B450D10,5000,5,Barre 12 m
17,Barra acciaio B450 Ø12,Acciaio,Armature,kg,1.35,Ferriere Nord,22,B450D12,5000,5,Barre 12 m
18,Rete elettrosaldata 6 mm,Acciaio,Reti,m2,4.6,Reti Italia,22,RETE6,1200,4,Maglia 20x20
19,Filo legatura,Ferramenta,Consumabili,kg,3.2,Beta,22,FILLEG,300,3,Per armature
20,Tavole abete 25x200,Legname,Casseri,m2,9.5,Legnami Rossi,22,TAV25200,300,7,Casseri riutilizzabili
21,Pannello fenolico 21mm,Legname,Casseri,m2,19.8,Peri,22,PANF21,200,7,Rivestito fenolico
22,"Lastra cartongesso 12,5 mm",Cartongesso,Lastre,m2,3.9,Knauf Italia,22,GKB12,1200,3,Lastra standard
23,"Lastra cartongesso idro 12,5 mm",Cartongesso,Lastre,m2,5.1,Knauf Italia,22,GKBI12,800,3,Per ambienti umidi
24,Profilo montante 50 mm,Cartongesso,Profili,m,1.1,Siniat,22,M50,5000,3,Lamiera zincata
25,Profilo guida 50 mm,Cartongesso,Profili,m,1.05,Siniat,22,U50,5000,3,Lamiera zincata
26,Vite cartongesso 25 mm,Ferramenta,Viteria,pz,0.015,Fischer,22,VIT25,50000,2,Autofilettante
27,Stucco cartongesso,Cartongesso,Accessori,kg,1.8,Knauf,22,STUGK,2000,3,Rasature giunti
28,Nastro giunto rete,Cartongesso,Accessori,m,0.2,Knauf,22,NGRET,4000,3,Rinforzo giunti
29,Lana di roccia 50 mm,Isolanti,Termoacustici,m2,6.2,Rockwool,22,LDR50,700,5,Pannello
30,EPS 80 sp. 50 mm,Isolanti,Termici,m2,4.6,EdilPS,22,EPS80_50,900,5,Cappotto
31,XPS 300 sp. 50 mm,Isolanti,Termici,m2,8.9,Ursa,22,XPS300_50,600,5,Alta resistenza
32,EPDM guaina 4 mm,Impermeabilizzanti,Guaina,m2,7.5,Index,22,EPDM4,800,6,Membrana impermeabile
33,Pittura lavabile bianca,Vernici,Murali,L,3.6,Sikkens,22,PITTLAV,1500,3,Interni
34,Fissativo acrilico,Vernici,Primer,L,4.2,Sikkens,22,FISSACR,900,3,Primer pareti
35,Smalto all’acqua,Vernici,Smalti,L,9.5,MaxMeyer,22,SMALLAQ,600,3,Per legno/ferro
36,Stucco in pasta,Vernici,Rasanti,kg,2.9,Gyproc,22,STUPAST,1200,3,Rasature e ripristini
37,Piastrella gres 60x60,Pavimenti,Gres Porcellanato,m2,19.5,Marazzi,22,GRES6060,800,7,Finitura opaca
38,Colla C2TE,Pavimenti,Adesivi,kg,0.85,Kerakoll,22,COLC2TE,3000,3,Piastrelle ceramiche
